Admin 1 PCode,Admin 1 Name,Admin 2 PCode,Admin 2 Name,Description,Cluster,Category,Population,In Need,Targeted,Affected,Reached,Info
,,SD04127,Kulbus,Food Security and Livelihoods,FSC,total,,22346,19029,,,
,,SD04127,Kulbus,Health,HEA,Adult,,12763,5524,,,
,,SD04127,Kulbus,Health,HEA,Children,,19063,6557,,,
,,SD04127,Kulbus,Health,HEA,Elderly,,1596,676,,,
,,SD04127,Kulbus,Health,HEA,Female,,16668,6506,,,
,,SD04127,Kulbus,Health,HEA,IDP,,22043,12756,,,
,,SD04127,Kulbus,Health,HEA,Male,,16753,6251,,,
,,SD04127,Kulbus,Health,HEA,People with disability,,2638,1913,,,
,,SD04127,Kulbus,Health,HEA,total,,22043,12756,,,
,,SD04127,Kulbus,Multi-Purpose Cash,MPC,Adult,,,992,,,
,,SD04127,Kulbus,Multi-Purpose Cash,MPC,Children,,,1178,,,
,,SD04127,Kulbus,Multi-Purpose Cash,MPC,Elderly,,,121,,,
,,SD04127,Kulbus,Multi-Purpose Cash,MPC,Female,,,1153,,,
,,SD04127,Kulbus,Multi-Purpose Cash,MPC,IDP,,,2291,,,
,,SD04127,Kulbus,Multi-Purpose Cash,MPC,Male,,,1139,,,
,,SD04127,Kulbus,Multi-Purpose Cash,MPC,People with disability,,,344,,,
,,SD04127,Kulbus,Multi-Purpose Cash,MPC,total,,,2291,,,
,,SD04127,Kulbus,Nutrition,NUT,Adult,,406,235,,,
,,SD04127,Kulbus,Nutrition,NUT,Children,,4375,1600,,,
,,SD04127,Kulbus,Nutrition,NUT,Female,,2637,1051,,,
,,SD04127,Kulbus,Nutrition,NUT,IDP,,2825,1835,,,
,,SD04127,Kulbus,Nutrition,NUT,Male,,2144,784,,,
,,SD04127,Kulbus,Nutrition,NUT,total,,2825,1835,,,
,,SD04127,Kulbus,General Protection,PRO,Adult,,9655,3076,,,
,,SD04127,Kulbus,General Protection,PRO,Children,,9343,2977,,,
,,SD04127,Kulbus,General Protection,PRO,Elderly,,1055,336,,,
,,SD04127,Kulbus,General Protection,PRO,Female,,10089,3214,,,
,,SD04127,Kulbus,General Protection,PRO,IDP,,17932,6389,,,
,,SD04127,Kulbus,General Protection,PRO,Male,,9964,3175,,,
,,SD04127,Kulbus,General Protection,PRO,People with disability,,3008,958,,,
,,SD04127,Kulbus,General Protection,PRO,total,,17932,6389,,,
,,SD04127,Kulbus,Child Protection,PRO-CPN,Adult,,1404,391,,,
,,SD04127,Kulbus,Child Protection,PRO-CPN,Children,,24509,6123,,,
,,SD04127,Kulbus,Child Protection,PRO-CPN,Female,,13037,3323,,,
,,SD04127,Kulbus,Child Protection,PRO-CPN,IDP,,16944,6514,,,
,,SD04127,Kulbus,Child Protection,PRO-CPN,Male,,12876,3191,,,
,,SD04127,Kulbus,Child Protection,PRO-CPN,People with disability,,3887,977,,,
,,SD04127,Kulbus,Child Protection,PRO-CPN,total,,16944,6514,,,
,,SD04127,Kulbus,Gender-Based Violence (GBV),PRO-GBV,Adult,,15285,5405,,,
,,SD04127,Kulbus,Gender-Based Violence (GBV),PRO-GBV,Children,,15285,5405,,,
,,SD04127,Kulbus,Gender-Based Violence (GBV),PRO-GBV,Elderly,,624,221,,,
,,SD04127,Kulbus,Gender-Based Violence (GBV),PRO-GBV,Female,,28075,9928,,,
,,SD04127,Kulbus,Gender-Based Violence (GBV),PRO-GBV,IDP,,21253,8004,,,
,,SD04127,Kulbus,Gender-Based Violence (GBV),PRO-GBV,Male,,3119,1103,,,
,,SD04127,Kulbus,Gender-Based Violence (GBV),PRO-GBV,People with disability,,4680,1103,,,
,,SD04127,Kulbus,Gender-Based Violence (GBV),PRO-GBV,total,,21253,8004,,,
,,SD04127,Kulbus,Mine Action,PRO-MIN,Adult,,8802,1882,,,
,,SD04127,Kulbus,Mine Action,PRO-MIN,Children,,12326,2097,,,
,,SD04127,Kulbus,Mine Action,PRO-MIN,Elderly,,1153,245,,,
,,SD04127,Kulbus,Mine Action,PRO-MIN,Female,,11553,2108,,,
,,SD04127,Kulbus,Mine Action,PRO-MIN,IDP,,21037,4224,,,
,,SD04127,Kulbus,Mine Action,PRO-MIN,Male,,10728,2117,,,
,,SD04127,Kulbus,Mine Action,PRO-MIN,People with disability,,,632,,,
,,SD04127,Kulbus,Mine Action,PRO-MIN,total,,21037,4224,,,
,,SD04127,Kulbus,Emergency Shelter and Non-Food Items,SHL,Adult,,5393,1299,,,
,,SD04127,Kulbus,Emergency Shelter and Non-Food Items,SHL,Children,,8055,1833,,,
,,SD04127,Kulbus,Emergency Shelter and Non-Food Items,SHL,Elderly,,674,200,,,
,,SD04127,Kulbus,Emergency Shelter and Non-Food Items,SHL,Female,,7043,1662,,,
,,SD04127,Kulbus,Emergency Shelter and Non-Food Items,SHL,IDP,,16268,3332,,,
,,SD04127,Kulbus,Emergency Shelter and Non-Food Items,SHL,Male,,7079,1670,,,
,,SD04127,Kulbus,Emergency Shelter and Non-Food Items,SHL,People with disability,,2118,500,,,
,,SD04127,Kulbus,Emergency Shelter and Non-Food Items,SHL,total,,16268,3332,,,
,,SD04127,Kulbus,"Water, Sanitation and Hygiene",WSH,Adult,,12532,4799,,,
,,SD04127,Kulbus,"Water, Sanitation and Hygiene",WSH,Children,,20322,7783,,,
,,SD04127,Kulbus,"Water, Sanitation and Hygiene",WSH,Elderly,,1016,389,,,
,,SD04127,Kulbus,"Water, Sanitation and Hygiene",WSH,Female,,17274,6615,,,
,,SD04127,Kulbus,"Water, Sanitation and Hygiene",WSH,IDP,,23167,12971,,,
,,SD04127,Kulbus,"Water, Sanitation and Hygiene",WSH,Male,,16596,6356,,,
,,SD04127,Kulbus,"Water, Sanitation and Hygiene",WSH,People with disability,,4064,1557,,,
,,SD04127,Kulbus,"Water, Sanitation and Hygiene",WSH,total,,23167,12971,,,
,,SD04134,Sirba,Final caseload,ALL,Adult,23191,20174,17014,,,
,,SD04134,Sirba,Final caseload,ALL,Children,27529,23948,20197,,,
,,SD04134,Sirba,Final caseload,ALL,Elderly,2839,2469,2083,,,
,,SD04134,Sirba,Final caseload,ALL,Female,26940,23436,19765,,,
,,SD04134,Sirba,Final caseload,ALL,Host Communities,20998,7818,16297,,,
,,SD04134,Sirba,Final caseload,ALL,IDP,32560,7224,22997,,,
,,SD04134,Sirba,Final caseload,ALL,Male,26618,23156,19529,,,
,,SD04134,Sirba,Final caseload,ALL,Non-hosting population,,96363,,,,
,,SD04134,Sirba,Final caseload,ALL,People with disability,8034,6989,5894,,,
,,SD04134,Sirba,Final caseload,ALL,total,53558,46592,39294,,,
,,SD04134,Sirba,Site Management,CCM,Adult,,3080,2323,,,
,,SD04134,Sirba,Site Management,CCM,Children,,4307,3276,,,
,,SD04134,Sirba,Site Management,CCM,Elderly,,480,357,,,
,,SD04134,Sirba,Site Management,CCM,Female,,4129,3157,,,
,,SD04134,Sirba,Site Management,CCM,IDP,,14694,5957,,,
,,SD04134,Sirba,Site Management,CCM,Male,,3739,2800,,,
,,SD04134,Sirba,Site Management,CCM,People with disability,,4030,894,,,
,,SD04134,Sirba,Site Management,CCM,total,,14694,5957,,,
,,SD04134,Sirba,Education,EDU,Children,,9643,4319,,,
,,SD04134,Sirba,Education,EDU,Female,,4918,2203,,,
,,SD04134,Sirba,Education,EDU,Host Communities,,4017,1572,,,
,,SD04134,Sirba,Education,EDU,IDP,,5882,2748,,,
,,SD04134,Sirba,Education,EDU,Male,,4725,2116,,,
,,SD04134,Sirba,Education,EDU,total,,9899,4319,,,
,,SD04134,Sirba,Food Security and Livelihoods,FSC,Adult,,19981,33847,,,
,,SD04134,Sirba,Food Security and Livelihoods,FSC,Children,,22705,713,,,
,,SD04134,Sirba,Food Security and Livelihoods,FSC,Elderly,,2725,1069,,,
,,SD04134,Sirba,Food Security and Livelihoods,FSC,Female,,22705,19489,,,
,,SD04134,Sirba,Food Security and Livelihoods,FSC,Host Communities,,16345,15894,,,
,,SD04134,Sirba,Food Security and Livelihoods,FSC,IDP,,23174,19734,,,
,,SD04134,Sirba,Food Security and Livelihoods,FSC,Male,,22705,16140,,,
,,SD04134,Sirba,Food Security and Livelihoods,FSC,People with disability,,6812,891,,,
,,SD04134,Sirba,Food Security and Livelihoods,FSC,total,,39519,35629,,,
,,SD04134,Sirba,Health,HEA,Adult,,15741,9232,,,
,,SD04134,Sirba,Health,HEA,Children,,21689,10958,,,
,,SD04134,Sirba,Health,HEA,Elderly,,967,1130,,,
,,SD04134,Sirba,Health,HEA,Female,,19010,10873,,,
,,SD04134,Sirba,Health,HEA,Host Communities,,13844,8091,,,
,,SD04134,Sirba,Health,HEA,IDP,,22860,13229,,,
,,SD04134,Sirba,Health,HEA,Male,,19387,10447,,,
,,SD04134,Sirba,Health,HEA,People with disability,,4018,3198,,,
,,SD04134,Sirba,Health,HEA,total,,36704,21320,,,
,,SD04134,Sirba,Multi-Purpose Cash,MPC,Adult,,,1501,,,
,,SD04134,Sirba,Multi-Purpose Cash,MPC,Children,,,1781,,,
,,SD04134,Sirba,Multi-Purpose Cash,MPC,Elderly,,,184,,,
,,SD04134,Sirba,Multi-Purpose Cash,MPC,Female,,,1743,,,
,,SD04134,Sirba,Multi-Purpose Cash,MPC,Host Communities,,,1090,,,
,,SD04134,Sirba,Multi-Purpose Cash,MPC,IDP,,,2376,,,
,,SD04134,Sirba,Multi-Purpose Cash,MPC,Male,,,1722,,,
,,SD04134,Sirba,Multi-Purpose Cash,MPC,People with disability,,,520,,,
,,SD04134,Sirba,Multi-Purpose Cash,MPC,total,,,3466,,,
,,SD04134,Sirba,Nutrition,NUT,Adult,,488,389,,,
,,SD04134,Sirba,Nutrition,NUT,Children,,5303,2675,,,
,,SD04134,Sirba,Nutrition,NUT,Female,,3193,1753,,,
,,SD04134,Sirba,Nutrition,NUT,Host Communities,,1858,1160,,,
,,SD04134,Sirba,Nutrition,NUT,IDP,,2930,1903,,,
,,SD04134,Sirba,Nutrition,NUT,Male,,2598,1311,,,
,,SD04134,Sirba,Nutrition,NUT,total,,4788,3064,,,
,,SD04134,Sirba,General Protection,PRO,Adult,,10259,3667,,,
,,SD04134,Sirba,General Protection,PRO,Children,,9928,3549,,,
,,SD04134,Sirba,General Protection,PRO,Elderly,,1121,401,,,
,,SD04134,Sirba,General Protection,PRO,Female,,10720,3833,,,
,,SD04134,Sirba,General Protection,PRO,Host Communities,,3429,991,,,
,,SD04134,Sirba,General Protection,PRO,IDP,,18596,6626,,,
,,SD04134,Sirba,General Protection,PRO,Male,,10588,3784,,,
,,SD04134,Sirba,General Protection,PRO,People with disability,,3196,1143,,,
,,SD04134,Sirba,General Protection,PRO,total,,22025,7617,,,
,,SD04134,Sirba,Child Protection,PRO-CPN,Adult,,1771,740,,,
,,SD04134,Sirba,Child Protection,PRO-CPN,Children,,19094,11580,,,
,,SD04134,Sirba,Child Protection,PRO-CPN,Female,,10498,6284,,,
,,SD04134,Sirba,Child Protection,PRO-CPN,Host Communities,,4531,3580,,,
,,SD04134,Sirba,Child Protection,PRO-CPN,IDP,,17572,8740,,,
,,SD04134,Sirba,Child Protection,PRO-CPN,Male,,10367,6036,,,
,,SD04134,Sirba,Child Protection,PRO-CPN,People with disability,,3130,1848,,,
,,SD04134,Sirba,Child Protection,PRO-CPN,total,,22103,12320,,,
,,SD04134,Sirba,Gender-Based Violence (GBV),PRO-GBV,Adult,,16373,10216,,,
,,SD04134,Sirba,Gender-Based Violence (GBV),PRO-GBV,Children,,16374,10216,,,
,,SD04134,Sirba,Gender-Based Violence (GBV),PRO-GBV,Elderly,,669,24,,,
,,SD04134,Sirba,Gender-Based Violence (GBV),PRO-GBV,Female,,30075,18410,,,
,,SD04134,Sirba,Gender-Based Violence (GBV),PRO-GBV,Host Communities,,7457,777,,,
,,SD04134,Sirba,Gender-Based Violence (GBV),PRO-GBV,IDP,,22040,8300,,,
,,SD04134,Sirba,Gender-Based Violence (GBV),PRO-GBV,Male,,3341,2046,,,
,,SD04134,Sirba,Gender-Based Violence (GBV),PRO-GBV,People with disability,,5013,2085,,,
,,SD04134,Sirba,Gender-Based Violence (GBV),PRO-GBV,total,,29497,9077,,,
,,SD04134,Sirba,Mine Action,PRO-MIN,Adult,,8189,2791,,,
,,SD04134,Sirba,Mine Action,PRO-MIN,Children,,10899,3110,,,
,,SD04134,Sirba,Mine Action,PRO-MIN,Elderly,,693,363,,,
,,SD04134,Sirba,Mine Action,PRO-MIN,Female,,10061,3125,,,
,,SD04134,Sirba,Mine Action,PRO-MIN,Host Communities,,5218,1883,,,
,,SD04134,Sirba,Mine Action,PRO-MIN,IDP,,21817,4381,,,
,,SD04134,Sirba,Mine Action,PRO-MIN,Male,,9720,3138,,,
,,SD04134,Sirba,Mine Action,PRO-MIN,People with disability,,,938,,,
,,SD04134,Sirba,Mine Action,PRO-MIN,total,,27035,6264,,,
,,SD04134,Sirba,Emergency Shelter and Non-Food Items,SHL,Adult,,9024,1674,,,
,,SD04134,Sirba,Emergency Shelter and Non-Food Items,SHL,Children,,12434,2272,,,
,,SD04134,Sirba,Emergency Shelter and Non-Food Items,SHL,Elderly,,554,252,,,
,,SD04134,Sirba,Emergency Shelter and Non-Food Items,SHL,Female,,10898,2078,,,
,,SD04134,Sirba,Emergency Shelter and Non-Food Items,SHL,Host Communities,,10279,742,,,
,,SD04134,Sirba,Emergency Shelter and Non-Food Items,SHL,IDP,,16871,3456,,,
,,SD04134,Sirba,Emergency Shelter and Non-Food Items,SHL,Male,,11114,2120,,,
,,SD04134,Sirba,Emergency Shelter and Non-Food Items,SHL,People with disability,,3302,629,,,
,,SD04134,Sirba,Emergency Shelter and Non-Food Items,SHL,total,,27150,4198,,,
,,SD04134,Sirba,"Water, Sanitation and Hygiene",WSH,Adult,,12778,8235,,,
,,SD04134,Sirba,"Water, Sanitation and Hygiene",WSH,Children,,20721,13355,,,
,,SD04134,Sirba,"Water, Sanitation and Hygiene",WSH,Elderly,,1036,668,,,
,,SD04134,Sirba,"Water, Sanitation and Hygiene",WSH,Female,,17613,11351,,,
,,SD04134,Sirba,"Water, Sanitation and Hygiene",WSH,Host Communities,,16859,8806,,,
,,SD04134,Sirba,"Water, Sanitation and Hygiene",WSH,IDP,,24025,13452,,,
,,SD04134,Sirba,"Water, Sanitation and Hygiene",WSH,Male,,16922,10906,,,
,,SD04134,Sirba,"Water, Sanitation and Hygiene",WSH,People with disability,,4144,2671,,,
,,SD04134,Sirba,"Water, Sanitation and Hygiene",WSH,total,,40883,22258,,,
,,SD05139,Adila,Final caseload,ALL,Adult,114639,75662,52359,,,
,,SD05139,Adila,Final caseload,ALL,Children,136084,89816,62154,,,
,,SD05139,Adila,Final caseload,ALL,Elderly,14032,9261,6409,,,
,,SD05139,Adila,Final caseload,ALL,Female,133172,87894,60824,,,
,,SD05139,Adila,Final caseload,ALL,Host Communities,56243,4054,43651,,,
,,SD05139,Adila,Final caseload,ALL,IDP,53737,3746,37955,,,
,,SD05139,Adila,Final caseload,ALL,Male,131583,86845,60098,,,
,,SD05139,Adila,Final caseload,ALL,Non-hosting population,152269,59203,37845,,,
,,SD05139,Adila,Final caseload,ALL,People with disability,39713,26211,18138,,,
,,SD05139,Adila,Final caseload,ALL,Refugees,3290,3290,1471,,,
,,SD05139,Adila,Final caseload,ALL,total,264755,174739,120922,,,
,,SD05139,Adila,Site Management,CCM,Adult,,10520,3834,,,
,,SD05139,Adila,Site Management,CCM,Children,,14709,5407,,,
,,SD05139,Adila,Site Management,CCM,Elderly,,1640,590,,,
,,SD05139,Adila,Site Management,CCM,Female,,14101,5210,,,
,,SD05139,Adila,Site Management,CCM,IDP,,24252,9831,,,
,,SD05139,Adila,Site Management,CCM,Male,,12768,4621,,,
,,SD05139,Adila,Site Management,CCM,People with disability,,658,1475,,,
,,SD05139,Adila,Site Management,CCM,total,,24252,9831,,,
,,SD05139,Adila,Education,EDU,Children,,47287,16881,,,
,,SD05139,Adila,Education,EDU,Female,,24117,8610,,,
,,SD05139,Adila,Education,EDU,Host Communities,,10760,4210,,,
,,SD05139,Adila,Education,EDU,IDP,,9708,4534,,,
,,SD05139,Adila,Education,EDU,Male,,23171,8272,,,
,,SD05139,Adila,Education,EDU,Non-hosting population,,27022,8137,,,
,,SD05139,Adila,Education,EDU,total,,47489,16881,,,
,,SD05139,Adila,Food Security and Livelihoods,FSC,Adult,,65380,95330,,,
,,SD05139,Adila,Food Security and Livelihoods,FSC,Children,,74296,2007,,,
,,SD05139,Adila,Food Security and Livelihoods,FSC,Elderly,,8916,3010,,,
,,SD05139,Adila,Food Security and Livelihoods,FSC,Female,,74296,54890,,,
,,SD05139,Adila,Food Security and Livelihoods,FSC,Host Communities,,43781,42573,,,
,,SD05139,Adila,Food Security and Livelihoods,FSC,IDP,,38247,32570,,,
,,SD05139,Adila,Food Security and Livelihoods,FSC,Male,,74296,45457,,,
,,SD05139,Adila,Food Security and Livelihoods,FSC,Non-hosting population,,63991,25205,,,
,,SD05139,Adila,Food Security and Livelihoods,FSC,People with disability,,22289,2509,,,
,,SD05139,Adila,Food Security and Livelihoods,FSC,total,,146019,100347,,,
,,SD05139,Adila,Health,HEA,Adult,,57351,24376,,,
,,SD05139,Adila,Health,HEA,Children,,65684,28936,,,
,,SD05139,Adila,Health,HEA,Elderly,,7153,2984,,,
,,SD05139,Adila,Health,HEA,Female,,63538,28711,,,
,,SD05139,Adila,Health,HEA,Host Communities,,37082,21672,,,
,,SD05139,Adila,Health,HEA,IDP,,37728,21833,,,
,,SD05139,Adila,Health,HEA,Male,,66650,27585,,,
,,SD05139,Adila,Health,HEA,Non-hosting population,,43591,12792,,,
,,SD05139,Adila,Health,HEA,People with disability,,7881,8444,,,
,,SD05139,Adila,Health,HEA,total,,118400,56297,,,
,,SD05139,Adila,Multi-Purpose Cash,MPC,Adult,,,4495,,,
,,SD05139,Adila,Multi-Purpose Cash,MPC,Children,,,5336,,,
,,SD05139,Adila,Multi-Purpose Cash,MPC,Elderly,,,550,,,
,,SD05139,Adila,Multi-Purpose Cash,MPC,Female,,,5222,,,
,,SD05139,Adila,Multi-Purpose Cash,MPC,Host Communities,,,2919,,,
,,SD05139,Adila,Multi-Purpose Cash,MPC,IDP,,,3922,,,
,,SD05139,Adila,Multi-Purpose Cash,MPC,Male,,,5160,,,
,,SD05139,Adila,Multi-Purpose Cash,MPC,Non-hosting population,,,3542,,,
,,SD05139,Adila,Multi-Purpose Cash,MPC,People with disability,,,1557,,,
,,SD05139,Adila,Multi-Purpose Cash,MPC,total,,,10382,,,
,,SD05139,Adila,Refugee Response,MS,Adult,,706,706,,,
,,SD05139,Adila,Refugee Response,MS,Children,,677,677,,,
,,SD05139,Adila,Refugee Response,MS,Elderly,,88,88,,,
,,SD05139,Adila,Refugee Response,MS,Female,,750,750,,,
,,SD05139,Adila,Refugee Response,MS,Male,,721,721,,,
,,SD05139,Adila,Refugee Response,MS,People with disability,,221,221,,,
,,SD05139,Adila,Refugee Response,MS,total,,1471,1471,,,
,,SD05139,Adila,Nutrition,NUT,Adult,,6228,1820,,,
,,SD05139,Adila,Nutrition,NUT,Children,,17639,11413,,,
,,SD05139,Adila,Nutrition,NUT,Female,,15224,7641,,,
,,SD05139,Adila,Nutrition,NUT,Host Communities,,4977,3108,,,
,,SD05139,Adila,Nutrition,NUT,IDP,,4836,3141,,,
,,SD05139,Adila,Nutrition,NUT,Male,,8643,5592,,,
,,SD05139,Adila,Nutrition,NUT,Non-hosting population,,11373,6979,,,
,,SD05139,Adila,Nutrition,NUT,total,,21186,13228,,,
,,SD05139,Adila,General Protection,PRO,Adult,,24220,9409,,,
,,SD05139,Adila,General Protection,PRO,Children,,23437,9105,,,
,,SD05139,Adila,General Protection,PRO,Elderly,,2646,1028,,,
,,SD05139,Adila,General Protection,PRO,Female,,25308,9832,,,
,,SD05139,Adila,General Protection,PRO,Host Communities,,9186,2654,,,
,,SD05139,Adila,General Protection,PRO,IDP,,30691,10935,,,
,,SD05139,Adila,General Protection,PRO,Male,,24995,9709,,,
,,SD05139,Adila,General Protection,PRO,Non-hosting population,,24078,5952,,,
,,SD05139,Adila,General Protection,PRO,People with disability,,7545,2931,,,
,,SD05139,Adila,General Protection,PRO,total,,63955,19541,,,
,,SD05139,Adila,Child Protection,PRO-CPN,Adult,,6377,727,,,
,,SD05139,Adila,Child Protection,PRO-CPN,Children,,55249,11353,,,
,,SD05139,Adila,Child Protection,PRO-CPN,Female,,31005,6162,,,
,,SD05139,Adila,Child Protection,PRO-CPN,Host Communities,,12137,1020,,,
,,SD05139,Adila,Child Protection,PRO-CPN,IDP,,29001,10390,,,
,,SD05139,Adila,Child Protection,PRO-CPN,Male,,30621,5918,,,
,,SD05139,Adila,Child Protection,PRO-CPN,Non-hosting population,,16751,670,,,
,,SD05139,Adila,Child Protection,PRO-CPN,People with disability,,9244,1811,,,
,,SD05139,Adila,Child Protection,PRO-CPN,total,,57889,12080,,,
,,SD05139,Adila,Gender-Based Violence (GBV),PRO-GBV,Adult,,35781,8363,,,
,,SD05139,Adila,Gender-Based Violence (GBV),PRO-GBV,Children,,35782,8363,,,
,,SD05139,Adila,Gender-Based Violence (GBV),PRO-GBV,Elderly,,1461,340,,,
,,SD05139,Adila,Gender-Based Violence (GBV),PRO-GBV,Female,,65722,15360,,,
,,SD05139,Adila,Gender-Based Violence (GBV),PRO-GBV,Host Communities,,19974,2082,,,
,,SD05139,Adila,Gender-Based Violence (GBV),PRO-GBV,IDP,,36375,13699,,,
,,SD05139,Adila,Gender-Based Violence (GBV),PRO-GBV,Male,,7302,1706,,,
,,SD05139,Adila,Gender-Based Violence (GBV),PRO-GBV,Non-hosting population,,12946,1106,,,
,,SD05139,Adila,Gender-Based Violence (GBV),PRO-GBV,People with disability,,10954,1706,,,
,,SD05139,Adila,Gender-Based Violence (GBV),PRO-GBV,total,,69295,16887,,,
,,SD05139,Adila,Mine Action,PRO-MIN,Adult,,24568,7730,,,
,,SD05139,Adila,Mine Action,PRO-MIN,Children,,28611,8614,,,
,,SD05139,Adila,Mine Action,PRO-MIN,Elderly,,3070,1005,,,
,,SD05139,Adila,Mine Action,PRO-MIN,Female,,27758,8656,,,
,,SD05139,Adila,Mine Action,PRO-MIN,Host Communities,,13977,5043,,,
,,SD05139,Adila,Mine Action,PRO-MIN,IDP,,36006,7230,,,
,,SD05139,Adila,Mine Action,PRO-MIN,Male,,28491,8693,,,
,,SD05139,Adila,Mine Action,PRO-MIN,Non-hosting population,,22156,5075,,,
,,SD05139,Adila,Mine Action,PRO-MIN,People with disability,,,2597,,,
,,SD05139,Adila,Mine Action,PRO-MIN,total,,72140,17348,,,
,,SD05139,Adila,Emergency Shelter and Non-Food Items,SHL,Adult,,25038,3240,,,
,,SD05139,Adila,Emergency Shelter and Non-Food Items,SHL,Children,,28676,4292,,,
,,SD05139,Adila,Emergency Shelter and Non-Food Items,SHL,Elderly,,3123,480,,,
,,SD05139,Adila,Emergency Shelter and Non-Food Items,SHL,Female,,27739,3910,,,
,,SD05139,Adila,Emergency Shelter and Non-Food Items,SHL,Host Communities,,27532,1987,,,
,,SD05139,Adila,Emergency Shelter and Non-Food Items,SHL,IDP,,27844,5703,,,
,,SD05139,Adila,Emergency Shelter and Non-Food Items,SHL,Male,,29098,4102,,,
,,SD05139,Adila,Emergency Shelter and Non-Food Items,SHL,Non-hosting population,,14405,322,,,
,,SD05139,Adila,Emergency Shelter and Non-Food Items,SHL,People with disability,,8526,1201,,,
,,SD05139,Adila,Emergency Shelter and Non-Food Items,SHL,total,,69781,8012,,,
,,SD05139,Adila,"Water, Sanitation and Hygiene",WSH,Adult,,39608,26734,,,
,,SD05139,Adila,"Water, Sanitation and Hygiene",WSH,Children,,64229,43353,,,
,,SD05139,Adila,"Water, Sanitation and Hygiene",WSH,Elderly,,3211,2168,,,
,,SD05139,Adila,"Water, Sanitation and Hygiene",WSH,Female,,54595,36850,,,
,,SD05139,Adila,"Water, Sanitation and Hygiene",WSH,Host Communities,,45156,23587,,,
,,SD05139,Adila,"Water, Sanitation and Hygiene",WSH,IDP,,39650,22200,,,
,,SD05139,Adila,"Water, Sanitation and Hygiene",WSH,Male,,52454,35405,,,
,,SD05139,Adila,"Water, Sanitation and Hygiene",WSH,Non-hosting population,,63918,26468,,,
,,SD05139,Adila,"Water, Sanitation and Hygiene",WSH,People with disability,,12846,8670,,,
,,SD05139,Adila,"Water, Sanitation and Hygiene",WSH,total,,148725,72255,,,
,,SD05140,Abu Jabrah,Final caseload,ALL,Adult,81579,56770,40562,,,
,,SD05140,Abu Jabrah,Final caseload,ALL,Children,96840,67390,48150,,,
,,SD05140,Abu Jabrah,Final caseload,ALL,Elderly,9985,6949,4965,,,
,,SD05140,Abu Jabrah,Final caseload,ALL,Female,94767,65948,47120,,,
,,SD05140,Abu Jabrah,Final caseload,ALL,Host Communities,48053,2517,37295,,,
,,SD05140,Abu Jabrah,Final caseload,ALL,IDP,43875,2326,30989,,,
,,SD05140,Abu Jabrah,Final caseload,ALL,Male,93637,65161,46557,,,
,,SD05140,Abu Jabrah,Final caseload,ALL,Non-hosting population,92298,171548,22940,,,
,,SD05140,Abu Jabrah,Final caseload,ALL,People with disability,28261,19666,14052,,,
,,SD05140,Abu Jabrah,Final caseload,ALL,Refugees,5487,5487,2453,,,
,,SD05140,Abu Jabrah,Final caseload,ALL,total,188404,131109,93677,,,
,,SD05140,Abu Jabrah,Site Management,CCM,Adult,,1718,,,,
,,SD05140,Abu Jabrah,Site Management,CCM,Children,,2402,,,,
,,SD05140,Abu Jabrah,Site Management,CCM,Elderly,,268,,,,
,,SD05140,Abu Jabrah,Site Management,CCM,Female,,2303,,,,
,,SD05140,Abu Jabrah,Site Management,CCM,Male,,2085,,,,
,,SD05140,Abu Jabrah,Site Management,CCM,People with disability,,15020,,,,
,,SD05140,Abu Jabrah,Education,EDU,Children,,33170,12231,,,
,,SD05140,Abu Jabrah,Education,EDU,Female,,16917,6238,,,
,,SD05140,Abu Jabrah,Education,EDU,Host Communities,,9193,3597,,,
,,SD05140,Abu Jabrah,Education,EDU,IDP,,7926,3702,,,
,,SD05140,Abu Jabrah,Education,EDU,Male,,16253,5993,,,
,,SD05140,Abu Jabrah,Education,EDU,Non-hosting population,,16379,4932,,,
,,SD05140,Abu Jabrah,Education,EDU,total,,33498,12231,,,
,,SD05140,Abu Jabrah,Food Security and Livelihoods,FSC,Adult,,44880,74332,,,
,,SD05140,Abu Jabrah,Food Security and Livelihoods,FSC,Children,,51000,1565,,,
,,SD05140,Abu Jabrah,Food Security and Livelihoods,FSC,Elderly,,6120,2347,,,
,,SD05140,Abu Jabrah,Food Security and Livelihoods,FSC,Female,,51000,42799,,,
,,SD05140,Abu Jabrah,Food Security and Livelihoods,FSC,Host Communities,,37406,36374,,,
,,SD05140,Abu Jabrah,Food Security and Livelihoods,FSC,IDP,,31227,26592,,,
,,SD05140,Abu Jabrah,Food Security and Livelihoods,FSC,Male,,51000,35444,,,
,,SD05140,Abu Jabrah,Food Security and Livelihoods,FSC,Non-hosting population,,38788,15278,,,
,,SD05140,Abu Jabrah,Food Security and Livelihoods,FSC,People with disability,,15300,1956,,,
,,SD05140,Abu Jabrah,Food Security and Livelihoods,FSC,total,,107421,78244,,,
,,SD05140,Abu Jabrah,Health,HEA,Adult,,40382,19094,,,
,,SD05140,Abu Jabrah,Health,HEA,Children,,52425,22665,,,
,,SD05140,Abu Jabrah,Health,HEA,Elderly,,4403,2337,,,
,,SD05140,Abu Jabrah,Health,HEA,Female,,48543,22489,,,
,,SD05140,Abu Jabrah,Health,HEA,Host Communities,,31682,18516,,,
,,SD05140,Abu Jabrah,Health,HEA,IDP,,30804,17826,,,
,,SD05140,Abu Jabrah,Health,HEA,Male,,48667,21607,,,
